Transaction ID,Transaction
Trans1,"Running Shoe,Socks,Sweatshirts,Modern Pants"
Trans2,"Running Shoe,Socks,Sweatshirts"
Trans3,"Running Shoe,Socks,Sweatshirts,Modern Pants"
Trans4,"Running Shoe,Sweatshirts,Modern Pants"
Trans5,"Running Shoe,Socks,Sweatshirts,Modern Pants,Soccer Shoe"
Trans6,"Running Shoe,Socks,Sweatshirts"
Trans7,"Running Shoe,Socks,Sweatshirts,Modern Pants,Tech Pants,Rash Guard,Hoodies"
Trans8,"Swimming Shirt,Socks,Sweatshirts"
Trans9,"Swimming Shirt,Rash Guard,Dry Fit V-Neck,Hoodies,Tech Pants"
Trans10,"Swimming Shirt,Rash Guard,Dry Fit V-Neck"
Trans11,"Swimming Shirt,Soccer Shoe,Sweatshirts,Dry Fit V-Neck,Tech Pants,Rash Guard"
Trans12,"Modern Pants,Dry Fit V-Neck,Tech Pants"
Trans13,"Running Shoe,Sweatshirts,Dry Fit V-Neck,Swimming Shirt"
Trans14,"Swimming Shirt,Soccer Shoe,Modern Pants"
Trans15,"Sweatshirts,Running Shoe,Dry Fit V-Neck,Hoodies"
Trans16,"Rash Guard,Running Shoe,Soccer Shoe,Dry Fit V-Neck,Swimming Shirt,Socks"
Trans17,"Soccer Shoe,Swimming Shirt,Tech Pants,Socks,Rash Guard,Hoodies"
Trans18,"Dry Fit V-Neck,Running Shoe,Soccer Shoe,Tech Pants,Sweatshirts"
Trans19,"Hoodies,Soccer Shoe,Dry Fit V-Neck,Tech Pants,Socks,Sweatshirts"
Trans20,"Sweatshirts,Socks,Tech Pants,Dry Fit V-Neck"
